TERM,SCHOOL,DEPARTMENT,SUBJ,COURSE,SECTION,CRN,TITLE,TYPE,CREDITS,INSTRUCTOR.NAME.S.,SECT.MAX,SECT.ENRL,UG.SECT.ENRL,UP.SECT.ENRL,GR.SECT.ENRL,VS.SECT.ENRL,VU.SECT.ENRL,VG.SECT.ENRL,XLST.GROUP,XLST.MAX,XLST.ENRL,TTL.ENRL,TTL.SEATS.AVAIL,XLST.WITH,XLST.CRN,XLST.LEAD.DEPT,HAS_SYLLABUS,TERM_num
22_2,School of Humanities and Arts,Philosophy,PHIL,100,1,12621,INTRODUCTION TO PHILOSOPHY,LEC,3,"Miller, Brian T.",35,34,34,0,0,0,0,0,,,NA,34,1,,,,Y,3
23_2,School of Humanities and Arts,Environmental Studies,ENST,100,1,10631,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; Williams, Casey",75,52,52,0,0,0,0,0,ZH,75,62,62,13,"ARCH 105 001, ENST 100 002, ARCH 105 002, ENST 100 003, ARCH 105 003, ENST 100 004, ARCH 105 004","10632, 15077, 15078, 15079, 15080, 15081, 15082",Environmental Studies,Y,5
23_2,School of Humanities and Arts,Environmental Studies,ENST,100,2,15077,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Campana, Joseph A.; Keny, Gebhard W.",75,1,1,0,0,0,0,0,ZH,75,62,62,13,"ENST 100 001, ARCH 105 001, ARCH 105 002, ENST 100 003, ARCH 105 003, ENST 100 004, ARCH 105 004","10631, 10632, 15078, 15079, 15080, 15081, 15082",Environmental Studies,Y,5
24_1,School of Humanities and Arts,Environmental Studies,ENST,100,1,25109,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Williams, Casey; McCullough, Meredith",50,18,17,0,0,0,0,1,CC,50,48,48,2,"ARCH 105 001, ENST 100 002","25409, 26067",Environmental Studies,N,6
24_1,School of Humanities and Arts,Environmental Studies,ENST,100,2,26067,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"McCullough, Meredith; Williams, Casey",50,23,23,0,0,0,0,0,CC,50,48,48,2,"ENST 100 001, ARCH 105 001","25109, 25409",Environmental Studies,N,6
24_2,School of Humanities and Arts,Environmental Studies,ENST,100,1,10631,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Williams, Casey",13,12,12,0,0,0,0,0,ZH,50,41,41,9,"ARCH 105 001, ENST 100 002, ARCH 105 002","10632, 15077, 15078",Environmental Studies,Y,7
24_2,School of Humanities and Arts,Environmental Studies,ENST,100,2,15077,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Williams, Casey",13,11,11,0,0,0,0,0,ZH,50,41,41,9,"ENST 100 001, ARCH 105 001, ARCH 105 002","10631, 10632, 15078",Environmental Studies,Y,7
24_2,School of Humanities and Arts,Philosophy,PHIL,100,1,16612,INTRODUCTION TO PHILOSOPHY,LEC,3,"Bruno-Niño, Teresa",35,36,33,0,1,0,0,2,,,NA,36,-1,,,,Y,7
24_2,School of Humanities and Arts,Philosophy,PHIL,100,2,16613,INTRODUCTION TO PHILOSOPHY,LEC,3,"Kriegel, Uri Y.",50,44,44,0,0,0,0,0,,,NA,44,6,,,,Y,7
24_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,100,1,16678,"WOMEN, GENDER, AND SEXUALITY",LEC,3,"Wildenthal, Lora J.; Dong, Anzi",30,11,11,0,0,0,0,0,,,NA,11,19,,,,Y,7
25_1,School of Humanities and Arts,Environmental Studies,ENST,100,1,25109,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Williams, Casey",50,36,36,0,0,0,0,0,CC,50,46,46,4,ARCH 105 001,25409,Environmental Studies,Y,8
25_1,School of Humanities and Arts,Philosophy,PHIL,100,1,26734,INTRODUCTION TO PHILOSOPHY,LEC,3,"Theunissen, Nandi",53,37,37,0,0,0,0,0,,,NA,37,16,,,,Y,8
25_1,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,100,1,26135,"WOMEN, GENDER, AND SEXUALITY",LEC,3,"Cruz, Stacie",30,21,21,0,0,0,0,0,,,NA,21,9,,,,Y,8
25_2,School of Humanities and Arts,Environmental Studies,ENST,100,1,10505,"ENVIRONMENT, CULTURE & SOCIETY",LEC,3,"Schneider-Mayerson, Matthew J.",45,30,30,0,0,0,0,0,D2,50,33,33,17,ARCH 105 001,10506,Environmental Studies,Y,9
25_2,School of Humanities and Arts,Philosophy,PHIL,100,3,14456,INTRODUCTION TO PHILOSOPHY,LEC,3,"Howell, Robert J.",60,51,50,0,0,0,1,0,,,NA,51,9,,,,Y,9
25_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,100,2,14487,"WOMEN, GENDER, AND SEXUALITY",LEC,3,"Dango, Michael",25,18,18,0,0,0,0,0,,,NA,18,7,,,,Y,9
21_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",EURO,101,1,11926,INTRO TO EURO LIT & CULTURE I,SEM,3,"McGill, Scott C.",19,7,7,0,0,0,0,0,,,NA,7,12,,,,Y,1
21_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,101,901,10211,ELEMENTARY GREEK I,LEC,3,"Mackie, Hilary S.",19,10,9,0,1,0,0,0,,,NA,10,9,,,,Y,1
21_2,School of Humanities and Arts,Art History,HART,101,1,12511,INTRO TO HIST OF WESTERN ART I,LEC,3,"Crawford-Brown, Sophie A.; Seale, Layla",70,62,62,0,0,0,0,0,G9,70,70,70,0,"CLAS 102 001, MDEM 111 001","12512, 12513",Art History,Y,1
21_2,School of Humanities and Arts,History,HIST,101,1,13729,"MODERN EUROPE, 1500-1789",LEC,3,"Wildenthal, Lora J.",30,20,20,0,0,0,0,0,,,NA,20,10,,,,Y,1
21_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,101,1,11817,ELEMENTARY LATIN I,LEC,3,"Somerville, Ted",49,5,5,0,0,0,0,0,J5,49,9,9,40,MDEM 101 001,11908,"Modern Classic Lang, Lit, Cult",Y,1
21_2,School of Humanities and Arts,Medieval/Early Modern Studies,MDEM,101,1,11908,ELEMENTARY LATIN I,LEC,3,"Somerville, Ted",49,4,4,0,0,0,0,0,J5,49,9,9,40,LATI 101 001,11817,"Modern Classic Lang, Lit, Cult",Y,1
21_2,School of Humanities and Arts,Religion,RELI,101,1,14345,WHAT IS RELIGION?,LEC,3,"Kripal, Jeffrey J.",100,90,89,0,0,0,0,1,,,NA,90,10,,,,Y,1
21_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,101,3,14347,INTRO WOMEN & GENDER,LEC,3,"Wildenthal, Lora J.",19,19,18,0,0,0,0,1,,,NA,19,0,,,,Y,1
21_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,101,4,14348,INTRO WOMEN & GENDER,LEC,3,"Thomas, Virginia C.",19,19,19,0,0,0,0,0,,,NA,19,0,,,,N,1
21_2,School of Humanities and Arts,Art,THEA,101,1,14003,THEA TECH: COSTUME CONSTRUCTON,LL,3,"Breikjern, Heather R.",8,8,8,0,0,0,0,0,,,NA,8,0,,,,Y,1
22_1,School of Humanities and Arts,English and Creative Writing,ENGL,101,1,25633,WHAT IS A FACT?,LEC,3,"Morton, Timothy",100,28,27,0,0,0,1,0,,,NA,28,72,,,,Y,2
22_1,School of Humanities and Arts,Art,THEA,101,1,25287,THEA TECH: COSTUME CONSTRUCTON,LL,3,"Breikjern, Heather R.",8,8,8,0,0,0,0,0,,,NA,8,0,,,,Y,2
22_2,School of Humanities and Arts,English and Creative Writing,ENGL,101,1,14339,WHAT IS A FACT?,LEC,3,"Morton, Timothy",100,36,34,0,2,0,0,0,,,NA,36,64,,,,Y,3
22_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",EURO,101,1,11678,INTRO TO EURO LIT & CULTURE I,SEM,3,"McGill, Scott C.",19,8,8,0,0,0,0,0,,,NA,8,11,,,,Y,3
22_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,101,1,10198,ELEMENTARY GREEK I,LEC,3,"Mackie, Hilary S.",19,7,5,0,2,0,0,0,,,NA,7,12,,,,Y,3
22_2,School of Humanities and Arts,Art History,HART,101,1,12150,INTRO TO HIST OF WESTERN ART I,LEC,3,"Crawford-Brown, Sophie A.; Boxer, Carly",70,38,38,0,0,0,0,0,G9,70,44,44,26,"CLAS 102 001, MDEM 111 001","12151, 12152",Art History,Y,3
22_2,School of Humanities and Arts,History,HIST,101,1,12915,"MODERN EUROPE, 1500-1789",LEC,3,"Pollnitz, Aysha E.",50,32,32,0,0,0,0,0,,,NA,32,18,,,,Y,3
22_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,101,1,11588,ELEMENTARY LATIN I,LEC,3,"Somerville, Ted",49,7,6,0,1,0,0,0,J5,49,8,8,41,MDEM 101 001,11665,"Modern Classic Lang, Lit, Cult",Y,3
22_2,School of Humanities and Arts,Medieval/Early Modern Studies,MDEM,101,1,11665,ELEMENTARY LATIN I,LEC,3,"Somerville, Ted",49,1,1,0,0,0,0,0,J5,49,8,8,41,LATI 101 001,11588,"Modern Classic Lang, Lit, Cult",Y,3
22_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,101,1,14701,INTRO WOMEN & GENDER,LEC,3,"Nevill, Nina D.",26,24,24,0,0,0,0,0,,,NA,24,2,,,,Y,3
22_2,School of Humanities and Arts,Art,THEA,101,1,13167,THEA TECH: COSTUME CONSTRUCTON,LL,3,"Breikjern, Heather R.",8,9,9,0,0,0,0,0,,,NA,9,-1,,,,Y,3
23_1,School of Humanities and Arts,Religion,RELI,101,1,23835,WHAT IS RELIGION?,LEC,3,"Fanger, Claire L.; Klein, Anne C.",200,26,26,0,0,0,0,0,,,NA,26,174,,,,Y,4
23_1,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,101,1,24051,INTRO WOMEN & GENDER,LEC,3,"Wildenthal, Lora J.",40,20,19,0,1,0,0,0,,,NA,20,20,,,,Y,4
23_1,School of Humanities and Arts,Art,THEA,101,1,23059,THEA TECH: COSTUME CONSTRUCTON,LL,3,"Breikjern, Heather R.",8,6,6,0,0,0,0,0,,,NA,6,2,,,,Y,4
23_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,101,1,10198,ELEMENTARY GREEK I,LEC,3,"Mackie, Hilary S.",25,7,6,0,1,0,0,0,,,NA,7,18,,,,Y,5
23_2,School of Humanities and Arts,History,HIST,101,1,12915,"MODERN EUROPE, 1500-1789",LEC,3,"Pollnitz, Aysha E.",50,45,45,0,0,0,0,0,,,NA,45,5,,,,Y,5
23_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,101,1,11588,ELEMENTARY LATIN I,LEC,3,"Mackie, Hilary S.",49,8,6,0,2,0,0,0,J5,49,8,8,41,MDEM 101 001,11665,"Modern Classic Lang, Lit, Cult",Y,5
23_2,School of Humanities and Arts,Religion,RELI,101,1,15146,WHAT IS RELIGION?,LEC,3,"Panin, Stanislav",75,64,64,0,0,0,0,0,,,NA,64,11,,,,Y,5
23_2,School of Humanities and Arts,"Stdy of Women, Gender, & Sxlty",SWGS,101,1,14701,INTRO WOMEN & GENDER,LEC,3,"Wildenthal, Lora J.",40,25,25,0,0,0,0,0,,,NA,25,15,,,,Y,5
24_1,School of Humanities and Arts,English and Creative Writing,ENGL,101,1,25078,WHAT IS A FACT?,LEC,3,"Morton, Timothy",100,30,28,0,1,0,0,1,,,NA,30,70,,,,Y,6
24_1,School of Humanities and Arts,Religion,RELI,101,1,23835,WHAT IS RELIGION?,LEC,3,"Fanger, Claire L.",200,40,40,0,0,0,0,0,,,NA,40,160,,,,Y,6
24_1,School of Humanities and Arts,Art,THEA,101,1,23059,THEA TECH: COSTUME CONSTRUCTON,LL,3,"Breikjern, Heather R.",8,8,7,0,0,0,1,0,,,NA,8,0,,,,Y,6
24_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,101,1,10198,ELEMENTARY GREEK I,LEC,3,"Mackie, Hilary S.",25,5,5,0,0,0,0,0,,,NA,5,20,,,,Y,7
24_2,School of Humanities and Arts,Art History,HART,101,1,16693,INTRO TO HIST OF ART I,LEC,3,"Emami, Farshid; Crawford-Brown, Sophie A.",100,21,20,0,1,0,0,0,H0,100,28,28,72,"CLAS 102 001, MDEM 111 001","16694, 16695",Art History,Y,7
24_2,School of Humanities and Arts,History,HIST,101,2,16757,"MODERN EUROPE, 1500-1789",LEC,3,"Pollnitz, Aysha E.",50,22,22,0,0,0,0,0,,,NA,22,28,,,,Y,7
24_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,101,1,11588,ELEMENTARY LATIN I,LEC,3,"Mackie, Hilary S.",49,3,2,0,1,0,0,0,J5,49,4,4,45,MDEM 101 001,11665,"Modern Classic Lang, Lit, Cult",Y,7
24_2,School of Humanities and Arts,Medieval/Early Modern Studies,MDEM,101,1,11665,ELEMENTARY LATIN I,LEC,3,"Mackie, Hilary S.",49,1,1,0,0,0,0,0,J5,49,4,4,45,LATI 101 001,11588,"Modern Classic Lang, Lit, Cult",Y,7
24_2,School of Humanities and Arts,Religion,RELI,101,1,15146,WHAT IS RELIGION?,LEC,3,"Kripal, Jeffrey J.",99,54,54,0,0,0,0,0,,,NA,54,45,,,,Y,7
25_1,School of Humanities and Arts,English and Creative Writing,ENGL,101,1,25078,WHAT IS A FACT?,LEC,3,"Morton, Timothy",100,33,33,0,0,0,0,0,,,NA,33,67,,,,Y,8
25_1,School of Humanities and Arts,Religion,RELI,101,2,26438,WHAT IS RELIGION?,LEC,3,"Kripal, Jeffrey J.",150,37,37,0,0,0,0,0,,,NA,37,113,,,,Y,8
25_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",CLAS,101,1,14811,INTRO TO CLASSICS,LEC,3,"Yunis, Harvey",25,6,6,0,0,0,0,0,,,NA,6,19,,,,Y,9
25_2,School of Humanities and Arts,English and Creative Writing,ENGL,101,1,14801,WHAT IS A FACT?,LEC,3,"Morton, Timothy",99,24,24,0,0,0,0,0,,,NA,24,75,,,,Y,9
25_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,101,1,10170,ELEMENTARY GREEK I,LEC,3,"Mackie, Hilary S.",25,9,6,0,2,0,0,1,,,NA,9,16,,,,Y,9
25_2,School of Humanities and Arts,History,HIST,101,2,13701,"MODERN EUROPE, 1500-1789",LEC,3,"Pollnitz, Aysha E.",50,48,48,0,0,0,0,0,,,NA,48,2,,,,Y,9
25_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,101,1,11279,ELEMENTARY LATIN I,LEC,3,"Somerville, Ted",49,8,8,0,0,0,0,0,J5,49,8,8,41,MDEM 101 001,11337,"Modern Classic Lang, Lit, Cult",Y,9
25_2,School of Humanities and Arts,Religion,RELI,101,1,12957,WHAT IS RELIGION?,LEC,3,"Kripal, Jeffrey J.",100,57,56,0,0,0,0,1,,,NA,57,43,,,,N,9
25_2,School of Humanities and Arts,Theatre,THEA,101,1,14709,THEA TECH: COSTUME CONSTRUCTON,LL,3,"Stepanik, Amber",10,10,10,0,0,0,0,0,,,NA,10,0,,,,Y,9
21_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",CLAS,102,1,12512,INTRO TO HIST OF WESTERN ART I,LEC,3,"Crawford-Brown, Sophie A.; Seale, Layla",70,7,7,0,0,0,0,0,G9,70,70,70,0,"HART 101 001, MDEM 111 001","12511, 12513",Art History,Y,1
21_2,School of Humanities and Arts,Art,THEA,102,1,10790,INTRODUCTION TO ACTING,LL,3,"Kershaw, Philip B.",12,12,12,0,0,0,0,0,,,NA,12,0,,,,Y,1
22_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",EURO,102,1,25201,INTRO TO EURO LIT & CULTURE II,SEM,3,"Harter, Deborah A.",19,6,6,0,0,0,0,0,,,NA,6,13,,,,Y,2
22_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,102,1,20963,ELEMENTARY GREEK II,LEC,3,"Jones, Steven L.",19,6,6,0,0,0,0,0,,,NA,6,13,,,,Y,2
22_1,School of Humanities and Arts,Art History,HART,102,1,20474,INTRO HIST OF WESTERN ART II,LEC,3,"Manca, Joseph P.; Bader, Graham P.",75,46,46,0,0,0,0,0,,,NA,46,29,,,,Y,2
22_1,School of Humanities and Arts,History,HIST,102,1,23757,"MODERN EUROPE, 1789-PRESENT",LEC,3,"Caldwell, Peter C.",35,18,18,0,0,0,0,0,,,NA,18,17,,,,Y,2
22_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,102,1,20001,ELEMENTARY LATIN II,LEC,3,"McGill, Scott C.",19,8,8,0,0,0,0,0,L4,19,9,9,10,MDEM 102 001,20605,"Modern Classic Lang, Lit, Cult",Y,2
22_1,School of Humanities and Arts,Medieval/Early Modern Studies,MDEM,102,1,20605,ELEMENTARY LATIN II,LEC,3,"McGill, Scott C.",19,1,1,0,0,0,0,0,L4,19,9,9,10,LATI 102 001,20001,"Modern Classic Lang, Lit, Cult",Y,2
22_1,School of Humanities and Arts,Art,THEA,102,1,21871,INTRODUCTION TO ACTING,LL,3,"Kershaw, Philip B.",12,12,12,0,0,0,0,0,,,NA,12,0,,,,Y,2
22_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",CLAS,102,1,12151,INTRO TO HIST OF WESTERN ART I,LEC,3,"Crawford-Brown, Sophie A.; Boxer, Carly",70,6,6,0,0,0,0,0,G9,70,44,44,26,"HART 101 001, MDEM 111 001","12150, 12152",Art History,Y,3
22_2,School of Humanities and Arts,Art,THEA,102,1,10701,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,15,15,0,0,0,0,0,,,NA,15,1,,,,Y,3
23_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,102,1,20718,ELEMENTARY GREEK II,LEC,3,"Mackie, Hilary S.",19,3,3,0,0,0,0,0,,,NA,3,16,,,,Y,4
23_1,School of Humanities and Arts,Art History,HART,102,1,20361,INTRO HIST OF WESTERN ART II,LEC,3,"Manca, Joseph P.; Bader, Graham P.",75,13,13,0,0,0,0,0,,,NA,13,62,,,,Y,4
23_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,102,1,20001,ELEMENTARY LATIN II,LEC,3,"Jones, Steven L.",19,4,4,0,0,0,0,0,L4,19,4,4,15,MDEM 102 001,20465,"Modern Classic Lang, Lit, Cult",Y,4
23_1,School of Humanities and Arts,Art,THEA,102,1,21417,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,17,17,0,0,0,0,0,,,NA,17,-1,,,,Y,4
23_2,School of Humanities and Arts,Art,THEA,102,1,10701,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,17,17,0,0,0,0,0,,,NA,17,-1,,,,Y,5
24_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,102,1,20718,ELEMENTARY GREEK II,LEC,3,"Mackie, Hilary S.",25,5,5,0,0,0,0,0,,,NA,5,20,,,,Y,6
24_1,School of Humanities and Arts,Art History,HART,102,1,20361,INTRO HIST OF WESTERN ART II,LEC,3,"Manca, Joseph P.; Costello, Robert L.",99,34,33,0,0,0,0,1,,,NA,34,65,,,,Y,6
24_1,School of Humanities and Arts,History,HIST,102,1,25145,DEMOCRACY-POWER-INDUSTRY-EUROP,LEC,3,"Caldwell, Peter C.",35,11,11,0,0,0,0,0,,,NA,11,24,,,,Y,6
24_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,102,1,20001,ELEMENTARY LATIN II,LEC,3,"Mackie, Hilary S.",25,5,4,0,1,0,0,0,L4,25,5,5,20,MDEM 102 001,20465,"Modern Classic Lang, Lit, Cult",Y,6
24_1,School of Humanities and Arts,Art,THEA,102,1,21417,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,18,18,0,0,0,0,0,,,NA,18,-2,,,,Y,6
24_2,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",CLAS,102,1,16694,INTRO TO HIST OF ART I,LEC,3,"Emami, Farshid; Crawford-Brown, Sophie A.",100,6,6,0,0,0,0,0,H0,100,28,28,72,"HART 101 001, MDEM 111 001","16693, 16695",Art History,Y,7
24_2,School of Humanities and Arts,Theatre,THEA,102,1,10701,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,17,17,0,0,0,0,0,,,NA,17,-1,,,,Y,7
25_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",GREE,102,1,20718,ELEMENTARY GREEK II,LEC,3,"Mackie, Hilary S.",25,4,4,0,0,0,0,0,,,NA,4,21,,,,Y,8
25_1,School of Humanities and Arts,Art History,HART,102,1,20361,INTRO HIST OF WESTERN ART II,LEC,3,"Manca, Joseph P.; Van Wingerden, Carolyn M.",60,13,13,0,0,0,0,0,,,NA,13,47,,,,Y,8
25_1,School of Humanities and Arts,History,HIST,102,2,26390,DEMOCRACY-POWER-INDUSTRY-EUROP,LEC,3,"Caldwell, Peter C.",35,12,12,0,0,0,0,0,,,NA,12,23,,,,Y,8
25_1,School of Humanities and Arts,"Modern Classic Lang, Lit, Cult",LATI,102,1,20001,ELEMENTARY LATIN II,LEC,3,"Mackie, Hilary S.",25,3,2,0,1,0,0,0,L4,25,3,3,22,MDEM 102 001,20465,"Modern Classic Lang, Lit, Cult",Y,8
25_1,School of Humanities and Arts,Theatre,THEA,102,1,21417,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,16,16,0,0,0,0,0,,,NA,16,0,,,,Y,8
25_1,School of Humanities and Arts,Theatre,THEA,102,2,26431,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,17,17,0,0,0,0,0,,,NA,17,-1,,,,Y,8
25_2,School of Humanities and Arts,Theatre,THEA,102,1,10558,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,16,16,0,0,0,0,0,,,NA,16,0,,,,Y,9
25_2,School of Humanities and Arts,Theatre,THEA,102,2,14861,INTRODUCTION TO ACTING,LL,3,"Clark, Kyle",16,16,16,0,0,0,0,0,,,NA,16,0,,,,Y,9
21_2,School of Humanities and Arts,Art,ARTS,103,1,13999,CREATIVE 2-D DESIGN,STU,3,"Sperandio, Christopher J.",12,8,8,0,0,0,0,0,,,NA,8,4,,,,Y,1
22_2,School of Humanities and Arts,Art,ARTS,103,1,13166,CREATIVE 2-D DESIGN,LL,3,"Sperandio, Christopher J.; Bashor, Caleb J.",8,9,9,0,0,0,0,0,AZ,28,15,15,13,BIOE 571 001,13514,Art,Y,3
22_2,School of Humanities and Arts,Art,THEA,103,1,14118,THEATRE TECHNOLOGY,LL,3,"Krouskop, Mark A.",12,12,12,0,0,0,0,0,,,NA,12,0,,,,Y,3
25_2,School of Humanities and Arts,Art,ARTS,103,1,14635,CREATIVE 2-D DESIGN,LL,3,"Rosenblatt, Ella",15,13,13,0,0,0,0,0,,,NA,13,2,,,,Y,9
21_2,School of Humanities and Arts,Cntr Lang & Intercultural Comm,PORT,106,1,10758,ACCEL FIRST YEAR PORTUGUESE,LEC,3,"Roberts, Aja R.",19,10,10,0,0,0,0,0,,,NA,10,9,,,,Y,1
22_1,School of Humanities and Arts,Cntr Lang & Intercultural Comm,ITAL,106,1,21903,ACCELERATED FIRST YEAR ITALIAN,LEC,3,"Giliberti, Maria C.",18,13,12,0,1,0,0,0,,,NA,13,5,,,,Y,2
22_2,School of Humanities and Arts,Cntr Lang & Intercultural Comm,PORT,106,1,10675,ACCEL FIRST YEAR PORTUGUESE,LEC,3,"Roberts, Aja R.",16,11,10,0,1,0,0,0,,,NA,11,5,,,,Y,3
23_1,School of Humanities and Arts,Cntr Lang & Intercultural Comm,ITAL,106,1,24688,ACCELERATED FIRST YEAR ITALIAN,LEC,3,"Giliberti, Maria C.",20,5,2,0,3,0,0,0,,,NA,5,15,,,,Y,4
23_2,School of Humanities and Arts,Cntr Lang & Intercultural Comm,PORT,106,1,10675,ACCEL FIRST YEAR PORTUGUESE,LEC,3,"Scutti Santos, Helade; Queiroz, Nathan",20,17,14,0,2,0,0,1,,,NA,17,3,,,,Y,5
